さうせいき	創世記	固有名詞	
はじめ	元始	名詞	
つくりたま	創造たま	動詞ハ行四段	
かたち	定形	名詞	
むなし	曠空	形容詞	
やみ	黒暗	名詞	
わだ	淵	名詞	
みづ	水	名詞	
おほ	覆	動詞ハ行四段	
いひたまひけ	言たまひけ	動詞ラ変	
よし	善	独立語	
みたま	観たま	動詞ハ行四段	
やみ	暗	名詞	
わかちたま	分ちたま	動詞ハ行四段	
なづけ	名け	動詞一段	本来は下二段活用で、終止形は「なづく」
なづけたま	名けたま	動詞ハ行四段	
ゆふ	夕	名詞	
これ	是	名詞	
はじめ	首	名詞	
おほぞら	穹蒼	名詞	
うへ	上	名詞	
わかちたま	判ちたま	動詞ハ行四段	
すなはち	即ち	副詞	
かく	斯	副詞	
かわけ	乾け	動詞一段	
あらは	顕	動詞ラ行五段	本来は下二段活用
あつまれ	集合	動詞一段	
あをくさ	青草	名詞	
たね	実蓏	名詞	
しゃう	生	動詞ザ変	
くさ	草蔬	名詞	
その	其	連体詞	
るゐ	類	名詞	
したが	従	動詞ハ行四段	
み	果	名詞	
みづから	みづから	副詞	
たね	核	名詞	
いだ	発出	動詞サ行五段	
ひかり	光明	名詞	
しるし	天象	名詞	
とき	時節	名詞	
なる	成	終助詞	「なる」の終止形。「べし」に接続する
ふたつ	二	名詞	
おほい	巨	名詞形動	
おほい	大	名詞形動	
つかさど	司ど	動詞ラ行五段	
ちひさ	小	形容詞	
つかさどらしめたま	司どらしめたま	動詞ハ行四段	
つくりたま	造りたま	動詞ハ行四段	
おきて	置て	副詞	「おく」のテ形
てら	照	動詞サ行五段	
わかたしめたま	分たしめたま	動詞ハ行四段	
いひたまひけ	いひ給ひけ	動詞ラ変	
いきもの	生物	名詞	
さはに	饒に	副詞	
しゃうじ	生じ	副詞	「生ずる」の連用形
とぶ	飛	終助詞	「とぶ」の終止形。「べし」に接続する
うを	魚	名詞	
しゃうじて	生じて	副詞	「生ずる」のテ形
すべて	諸	名詞	
つく	創造	動詞ラ行五段	
つばさ	羽翼	名詞	
つくりたま	創造りたま	動詞ハ行四段	
いはく	曰く	副詞	
ふえ	繁息	動詞一段	本来は下二段活用で、終止形は「ふゆ」
みてよ	充牣よ	終助詞	「みつ」の命令形
とり	禽鳥	名詞	
ふえ	蕃息	動詞一段	本来は下二段活用で、終止形は「ふゆ」
いだ	出	動詞サ行五段	
はふもの	昆虫	名詞	
われら	我儕	名詞	
かたち	像	名詞	
そら	天空	名詞	
は	匍	動詞ハ行四段	
をさめ	治め	動詞一段	
つくりたま	創造給	動詞ハ行四段	
をとこ	男	名詞	
をんな	女	名詞	
うめよ	生よ	終助詞	「うむ」の命令形
ふえ	繁殖	動詞一段	本来は下二段活用で、終止形は「ふゆ」
みてよ	満盈よ	終助詞	「みつ」の命令形
したがは	服従	動詞サ行五段	
このみ	木菓	名詞	
な	結	動詞ラ行五段	
なんぢ	汝	名詞	
あた	与	動詞ハ行四段	本来は下二段活用
あを	青	形容詞	
みたま	視たま	動詞ハ行四段	
よか	善	動詞ラ変	形容詞「よし」のカリ活用
しうぐん	衆群	名詞	
なりぬ	成ぬ	名詞	
なぬかめ	第七日	名詞	
わざ	工	名詞	
をへたま	竣たま	動詞ハ行四段	
をへ	竣	動詞一段	本来は下二段活用で、終止形は「をふ」
やすみたま	安息たま	動詞ハ行四段	
きよめたま	神聖めたま	動詞ハ行四段	
そ	其	名詞	
つくりなしたま	創造為たま	動詞ハ行四段	
やすみたま	安息みたま	動詞ハ行四段	
